HDAC5_D2_3	HDAC5_D2_4	HDAC5_D2_1	HDAC5_D2_2	WT_D2_3	WT_D2_4	WT_D2_1	WT_D2_2
Aamdc	5.34889821202058	5.44098005933459	5.60182052357689	5.71338991931419	5.62435453400283	5.71068515575595	5.58178912470628	5.71252106442136
Aamp	6.49906269637538	6.50675649936325	6.65559238350924	6.91605251082254	6.82087964286728	6.72975585761235	6.79868302798981	6.89031902745636
Aanat	5.40316223397774	5.18701672461546	5.55008473832649	5.63400688241494	5.46427799930916	5.78423022055417	5.49220707492075	5.65418137887026
Aar2	5.05006505483683	4.99261908083202	5.03764666178273	4.95834386688376	5.03939084210304	5.09149932881262	4.98641921115192	4.94027944533568
Aard	3.84133978228611	3.72484884725366	4.1581012154354	4.33544417214943	4.237465744704	4.18366926084495	4.04246270734093	4.27892396109083
Aars	8.87237660388701	8.69872936062865	8.52177290182612	8.2293706427939	8.51645491413309	8.5059081096207	8.5638608446019	8.4340616082207
Aars2	6.17213667401928	6.10595796952013	6.24539034375546	6.14288305523844	6.15030153354989	6.27194786648303	6.10851851440918	6.21849947568316
Aarsd1	7.83830151711688	7.84020870783346	7.79775227948929	7.97956206827946	8.03642567663899	7.88655999334759	8.06869540933048	8.01828510324292
Aasdh	5.6855477799302	5.80556550833825	5.65315758874243	5.51240735914908	5.60140841699659	5.56991466774805	5.55505768496107	5.44980208894835
Aasdhppt	5.91917980441494	5.90447126728447	5.80381296783908	5.9425060441873	5.96706063166097	6.00073163330706	6.09131211099979	5.95142585566186
Aass	4.75581176260317	5.06747130463725	4.78582451291322	4.50352680697835	4.91363182873065	4.79829363877439	4.77546201440191	4.64512424022156
Aatf	6.19440387401037	6.17560139201542	6.12663300166113	6.28726815474022	6.29958477553405	6.06224761327021	6.29927817171129	6.258627710547
Aatk	7.69350677886436	7.634021632605	7.68678253073226	7.550556421945	7.61459758251006	7.64030423041616	7.55553575276486	7.59396820415079
Abat	9.78399468700622	9.62316683849835	9.67085391161939	9.47406535611881	9.90809848906588	9.97067986473859	9.761903355825	9.53826656690532
Abca1	7.85028225062716	7.66291973922937	7.40865075312845	6.67930218835918	6.45951550047019	6.51576967614256	6.47521688529346	6.48381356043728
Abca12	3.73596935304578	3.46425415548085	3.62816872824552	3.69116103866387	3.66655886580154	3.6982017706662	3.72697427659197	3.80928383085423
Abca13	3.59721857533169	3.46736253199174	3.65609505684234	3.79970797113249	3.59508319627637	3.66024007945893	3.63411897392769	3.75102973811886
Abca14	2.40853739222718	2.39762720536467	2.55292835956253	2.64332422783563	2.49986597434896	2.52498134162053	2.45988033805285	2.56408995144917
Abca15	2.20770375020101	2.21349306868437	2.31161966203101	2.51110791361671	2.33053527462479	2.34377846349753	2.3578175171275	2.40169306685114
